field_name,code_value,mapped_value
sic_code,8721,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8713,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8712,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8711,"Engineering, Accounting, Research, Management & Related Svcs"
sic_code,8699,Membership Organizations
sic_code,8661,Membership Organizations
sic_code,8651,Membership Organizations
sic_code,8641,Membership Organizations
sic_code,8631,Membership Organizations
sic_code,8621,Membership Organizations
sic_code,8611,Membership Organizations
sic_code,8422,"Museums, Art Galleries and Botanical and Zoological Gardens"
sic_code,8412,"Museums, Art Galleries and Botanical and Zoological Gardens"
sic_code,8399,Social Services
sic_code,8361,Social Services
sic_code,8351,Social Services
sic_code,8331,Social Services
sic_code,8322,Social Services
sic_code,8299,Educational Services
sic_code,8249,Educational Services
sic_code,8244,Educational Services
sic_code,8243,Educational Services
sic_code,8231,Educational Services
sic_code,8222,Educational Services
sic_code,8221,Educational Services
sic_code,8211,Educational Services
sic_code,8111,Legal Services
sic_code,8099,Health Services
sic_code,8093,Health Services
sic_code,8092,Health Services
sic_code,8082,Health Services
sic_code,8072,Health Services
sic_code,8071,Health Services
sic_code,8069,Health Services
sic_code,8063,Health Services
sic_code,8062,Health Services
sic_code,8059,Health Services
sic_code,8052,Health Services
sic_code,8051,Health Services
sic_code,8049,Health Services
sic_code,8043,Health Services
sic_code,8042,Health Services
sic_code,8041,Health Services
sic_code,8031,Health Services
sic_code,8021,Health Services
sic_code,8011,Health Services
sic_code,7999,Amusement and Recreation Services
sic_code,7997,Amusement and Recreation Services
sic_code,7996,Amusement and Recreation Services
sic_code,7993,Amusement and Recreation Services
sic_code,7992,Amusement and Recreation Services
sic_code,7991,Amusement and Recreation Services
sic_code,7948,Amusement and Recreation Services
sic_code,7941,Amusement and Recreation Services
sic_code,7933,Amusement and Recreation Services
sic_code,7929,Amusement and Recreation Services
sic_code,7922,Amusement and Recreation Services
sic_code,7911,Amusement and Recreation Services
sic_code,7841,Motion Pictures
sic_code,7833,Motion Pictures
sic_code,7832,Motion Pictures
sic_code,7829,Motion Pictures
sic_code,7822,Motion Pictures
sic_code,7819,Motion Pictures
sic_code,7812,Motion Pictures
sic_code,7699,Miscellaneous Repair Services
sic_code,7694,Miscellaneous Repair Services
sic_code,7692,Miscellaneous Repair Services
sic_code,7641,Miscellaneous Repair Services
sic_code,7631,Miscellaneous Repair Services
sic_code,7629,Miscellaneous Repair Services
sic_code,7623,Miscellaneous Repair Services
sic_code,7622,Miscellaneous Repair Services
sic_code,7549,"Automotive Repair, Services and Parking"
sic_code,7542,"Automotive Repair, Services and Parking"
sic_code,7539,"Automotive Repair, Services and Parking"
sic_code,7538,"Automotive Repair, Services and Parking"
sic_code,7537,"Automotive Repair, Services and Parking"
sic_code,7536,"Automotive Repair, Services and Parking"
sic_code,7534,"Automotive Repair, Services and Parking"
sic_code,7533,"Automotive Repair, Services and Parking"
sic_code,7532,"Automotive Repair, Services and Parking"
sic_code,7521,"Automotive Repair, Services and Parking"
sic_code,7519,"Automotive Repair, Services and Parking"
sic_code,7515,"Automotive Repair, Services and Parking"
sic_code,7514,"Automotive Repair, Services and Parking"
sic_code,7513,"Automotive Repair, Services and Parking"
sic_code,7389,Business Services
sic_code,7384,Business Services
sic_code,7383,Business Services
sic_code,7382,Business Services
sic_code,7381,Business Services
sic_code,7379,Business Services
sic_code,7378,Business Services
sic_code,7377,Business Services
sic_code,7376,Business Services
sic_code,7375,Business Services
sic_code,7374,Business Services
sic_code,7373,Business Services
sic_code,7372,Business Services
sic_code,7371,Business Services
sic_code,7363,Business Services
sic_code,7361,Business Services
sic_code,7359,Business Services
sic_code,7353,Business Services
sic_code,7352,Business Services
sic_code,7349,Business Services
sic_code,7342,Business Services
sic_code,7338,Business Services
sic_code,7336,Business Services
sic_code,7335,Business Services
sic_code,7334,Business Services
sic_code,7331,Business Services
sic_code,7323,Business Services
sic_code,7322,Business Services
sic_code,7319,Business Services
sic_code,7313,Business Services
sic_code,7312,Business Services
sic_code,7311,Business Services
sic_code,7299,Personal Services
sic_code,7291,Personal Services
sic_code,7261,Personal Services
sic_code,7251,Personal Services
sic_code,7241,Personal Services
sic_code,7231,Personal Services
sic_code,7221,Personal Services
sic_code,7219,Personal Services
sic_code,7218,Personal Services
sic_code,7217,Personal Services
sic_code,7216,Personal Services
sic_code,7215,Personal Services
sic_code,7213,Personal Services
sic_code,7212,Personal Services
sic_code,7211,Personal Services
sic_code,7041,"Hotels, Rooming Houses, Camps, and Other Lodging Places"
sic_code,7033,"Hotels, Rooming Houses, Camps, and Other Lodging Places"
sic_code,7032,"Hotels, Rooming Houses, Camps, and Other Lodging Places"
sic_code,7021,"Hotels, Rooming Houses, Camps, and Other Lodging Places"
sic_code,7011,"Hotels, Rooming Houses, Camps, and Other Lodging Places"
sic_code,6799,Holding and Other Investment Offices
sic_code,6798,Holding and Other Investment Offices
sic_code,6794,Holding and Other Investment Offices
sic_code,6792,Holding and Other Investment Offices
sic_code,6733,Holding and Other Investment Offices
sic_code,6732,Holding and Other Investment Offices
sic_code,6726,Holding and Other Investment Offices
sic_code,6722,Holding and Other Investment Offices
sic_code,6719,Holding and Other Investment Offices
sic_code,6712,Holding and Other Investment Offices
sic_code,6553,Real Estate
sic_code,6552,Real Estate
sic_code,6541,Real Estate
sic_code,6531,Real Estate
sic_code,6519,Real Estate
sic_code,6517,Real Estate
sic_code,6515,Real Estate
sic_code,6514,Real Estate
sic_code,6513,Real Estate
sic_code,6512,Real Estate
sic_code,6411,"Insurance Agents, Brokers and Service"
sic_code,6399,Insurance Carriers
sic_code,6371,Insurance Carriers
sic_code,6361,Insurance Carriers
sic_code,6351,Insurance Carriers
sic_code,6331,Insurance Carriers
sic_code,6324,Insurance Carriers
sic_code,6321,Insurance Carriers
sic_code,6311,Insurance Carriers
sic_code,6289,"Security & Commodity Brokers, Dealers, Exchanges & Services"
sic_code,6282,"Security & Commodity Brokers, Dealers, Exchanges & Services"
sic_code,6231,"Security & Commodity Brokers, Dealers, Exchanges & Services"
sic_code,6221,"Security & Commodity Brokers, Dealers, Exchanges & Services"
sic_code,6211,"Security & Commodity Brokers, Dealers, Exchanges & Services"
sic_code,6163,Nondepository Credit Institutions
sic_code,6162,Nondepository Credit Institutions
sic_code,6159,Nondepository Credit Institutions
sic_code,6153,Nondepository Credit Institutions
sic_code,6141,Nondepository Credit Institutions
sic_code,6111,Nondepository Credit Institutions
sic_code,6099,Depository Institutions
sic_code,6091,Depository Institutions
sic_code,6082,Depository Institutions
sic_code,6081,Depository Institutions
sic_code,6062,Depository Institutions
sic_code,6061,Depository Institutions
sic_code,6036,Depository Institutions
sic_code,6035,Depository Institutions
sic_code,6029,Depository Institutions
sic_code,6022,Depository Institutions
sic_code,6021,Depository Institutions
sic_code,6019,Depository Institutions
sic_code,6011,Depository Institutions
sic_code,5999,Miscellaneous Retail
sic_code,5995,Miscellaneous Retail
sic_code,5994,Miscellaneous Retail
sic_code,5993,Miscellaneous Retail
sic_code,5992,Miscellaneous Retail
sic_code,5989,Miscellaneous Retail
sic_code,5984,Miscellaneous Retail
sic_code,5983,Miscellaneous Retail
sic_code,5963,Miscellaneous Retail
sic_code,5962,Miscellaneous Retail
sic_code,5961,Miscellaneous Retail
sic_code,5949,Miscellaneous Retail
sic_code,5948,Miscellaneous Retail
sic_code,5947,Miscellaneous Retail
sic_code,5946,Miscellaneous Retail
sic_code,5945,Miscellaneous Retail
sic_code,5944,Miscellaneous Retail
sic_code,5943,Miscellaneous Retail
sic_code,5942,Miscellaneous Retail
sic_code,5941,Miscellaneous Retail
sic_code,5932,Miscellaneous Retail
sic_code,5921,Miscellaneous Retail
sic_code,5912,Miscellaneous Retail
sic_code,5813,Eating and Drinking Places
sic_code,5812,Eating and Drinking Places
sic_code,5736,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5735,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5734,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5731,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5722,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5719,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5714,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5713,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5712,"Home Furniture, Furnishings and Equipment Stores"
sic_code,5699,Apparel and Accessory Stores
sic_code,5661,Apparel and Accessory Stores
sic_code,5651,Apparel and Accessory Stores
sic_code,5641,Apparel and Accessory Stores
sic_code,5632,Apparel and Accessory Stores
sic_code,5621,Apparel and Accessory Stores
sic_code,5611,Apparel and Accessory Stores
sic_code,5599,Automotive Dealers and Gasoline Service Stations
sic_code,5571,Automotive Dealers and Gasoline Service Stations
sic_code,5561,Automotive Dealers and Gasoline Service Stations
sic_code,5551,Automotive Dealers and Gasoline Service Stations
sic_code,5541,Automotive Dealers and Gasoline Service Stations
sic_code,5531,Automotive Dealers and Gasoline Service Stations
sic_code,5521,Automotive Dealers and Gasoline Service Stations
sic_code,5511,Automotive Dealers and Gasoline Service Stations
sic_code,5499,Food Stores
sic_code,5461,Food Stores
sic_code,5451,Food Stores
sic_code,5441,Food Stores
sic_code,5431,Food Stores
sic_code,5421,Food Stores
sic_code,5411,Food Stores
sic_code,5399,General Merchandise Stores
sic_code,5331,General Merchandise Stores
sic_code,5311,General Merchandise Stores
sic_code,5271,"Building Matrials, Hrdwr, Garden Supply & Mobile Home Dealrs"
sic_code,5261,"Building Matrials, Hrdwr, Garden Supply & Mobile Home Dealrs"
sic_code,5251,"Building Matrials, Hrdwr, Garden Supply & Mobile Home Dealrs"
sic_code,5231,"Building Matrials, Hrdwr, Garden Supply & Mobile Home Dealrs"
sic_code,5211,"Building Matrials, Hrdwr, Garden Supply & Mobile Home Dealrs"
sic_code,5200,"Building Matrials, Hrdwr, Garden Supply & Mobile Home Dealrs"
sic_code,5199,Wholesale Trade - Nondurable Goods
sic_code,5198,Wholesale Trade - Nondurable Goods
sic_code,5194,Wholesale Trade - Nondurable Goods
sic_code,5193,Wholesale Trade - Nondurable Goods
sic_code,5192,Wholesale Trade - Nondurable Goods
sic_code,5191,Wholesale Trade - Nondurable Goods
sic_code,5182,Wholesale Trade - Nondurable Goods
sic_code,5181,Wholesale Trade - Nondurable Goods
sic_code,5172,Wholesale Trade - Nondurable Goods
sic_code,5171,Wholesale Trade - Nondurable Goods
sic_code,5169,Wholesale Trade - Nondurable Goods
sic_code,5162,Wholesale Trade - Nondurable Goods
sic_code,5159,Wholesale Trade - Nondurable Goods
sic_code,5154,Wholesale Trade - Nondurable Goods
sic_code,5153,Wholesale Trade - Nondurable Goods
sic_code,5149,Wholesale Trade - Nondurable Goods
sic_code,5148,Wholesale Trade - Nondurable Goods
sic_code,5147,Wholesale Trade - Nondurable Goods
sic_code,5146,Wholesale Trade - Nondurable Goods
sic_code,5145,Wholesale Trade - Nondurable Goods
sic_code,5144,Wholesale Trade - Nondurable Goods
sic_code,5143,Wholesale Trade - Nondurable Goods
sic_code,5142,Wholesale Trade - Nondurable Goods
sic_code,5141,Wholesale Trade - Nondurable Goods
sic_code,5139,Wholesale Trade - Nondurable Goods
sic_code,5137,Wholesale Trade - Nondurable Goods
sic_code,5136,Wholesale Trade - Nondurable Goods
sic_code,5131,Wholesale Trade - Nondurable Goods
sic_code,5122,Wholesale Trade - Nondurable Goods
sic_code,5113,Wholesale Trade - Nondurable Goods
sic_code,5112,Wholesale Trade - Nondurable Goods
sic_code,5111,Wholesale Trade - Nondurable Goods
sic_code,5099,Wholesale Trade - Durable Goods
sic_code,5094,Wholesale Trade - Durable Goods
sic_code,5093,Wholesale Trade - Durable Goods
sic_code,5092,Wholesale Trade - Durable Goods
sic_code,5091,Wholesale Trade - Durable Goods
sic_code,5088,Wholesale Trade - Durable Goods
sic_code,5087,Wholesale Trade - Durable Goods
sic_code,5085,Wholesale Trade - Durable Goods
sic_code,5084,Wholesale Trade - Durable Goods
sic_code,5083,Wholesale Trade - Durable Goods
sic_code,5082,Wholesale Trade - Durable Goods
sic_code,5078,Wholesale Trade - Durable Goods
sic_code,5075,Wholesale Trade - Durable Goods
sic_code,5074,Wholesale Trade - Durable Goods
sic_code,5072,Wholesale Trade - Durable Goods
sic_code,5065,Wholesale Trade - Durable Goods
sic_code,5064,Wholesale Trade - Durable Goods
sic_code,5063,Wholesale Trade - Durable Goods
sic_code,5052,Wholesale Trade - Durable Goods
sic_code,5051,Wholesale Trade - Durable Goods
sic_code,5049,Wholesale Trade - Durable Goods
sic_code,5048,Wholesale Trade - Durable Goods
sic_code,5047,Wholesale Trade - Durable Goods
sic_code,5046,Wholesale Trade - Durable Goods
sic_code,5045,Wholesale Trade - Durable Goods
sic_code,5044,Wholesale Trade - Durable Goods
sic_code,5043,Wholesale Trade - Durable Goods
sic_code,5039,Wholesale Trade - Durable Goods
sic_code,5033,Wholesale Trade - Durable Goods
sic_code,5032,Wholesale Trade - Durable Goods
sic_code,5031,Wholesale Trade - Durable Goods
sic_code,5023,Wholesale Trade - Durable Goods
sic_code,5021,Wholesale Trade - Durable Goods
sic_code,5015,Wholesale Trade - Durable Goods
sic_code,5014,Wholesale Trade - Durable Goods
sic_code,5013,Wholesale Trade - Durable Goods
sic_code,5012,Wholesale Trade - Durable Goods
sic_code,4971,"Electric, Gas and Sanitary Services"
sic_code,4961,"Electric, Gas and Sanitary Services"
sic_code,4959,"Electric, Gas and Sanitary Services"
sic_code,4953,"Electric, Gas and Sanitary Services"
sic_code,4952,"Electric, Gas and Sanitary Services"
sic_code,4950,"Electric, Gas and Sanitary Services"
sic_code,4941,"Electric, Gas and Sanitary Services"
sic_code,4939,"Electric, Gas and Sanitary Services"
sic_code,4932,"Electric, Gas and Sanitary Services"
sic_code,4931,"Electric, Gas and Sanitary Services"
sic_code,4930,"Electric, Gas and Sanitary Services"
sic_code,4925,"Electric, Gas and Sanitary Services"
sic_code,4924,"Electric, Gas and Sanitary Services"
sic_code,4923,"Electric, Gas and Sanitary Services"
sic_code,4922,"Electric, Gas and Sanitary Services"
sic_code,4911,"Electric, Gas and Sanitary Services"
sic_code,4899,Communications
sic_code,4841,Communications
sic_code,4833,Communications
sic_code,4832,Communications
sic_code,4822,Communications
sic_code,4813,Communications
sic_code,4812,Communications
sic_code,4789,Transportation Services
sic_code,4785,Transportation Services
sic_code,4783,Transportation Services
sic_code,4741,Transportation Services
sic_code,4731,Transportation Services
sic_code,4729,Transportation Services
sic_code,4725,Transportation Services
sic_code,4724,Transportation Services
sic_code,4619,"Pipelines, Except Natural Gas"
sic_code,4613,"Pipelines, Except Natural Gas"
sic_code,4612,"Pipelines, Except Natural Gas"
sic_code,4581,Transportation by Air
sic_code,4522,Transportation by Air
sic_code,4513,Transportation by Air
sic_code,4512,Transportation by Air
sic_code,4499,Water Transportation
sic_code,4493,Water Transportation
sic_code,4492,Water Transportation
sic_code,4491,Water Transportation
sic_code,4489,Water Transportation
sic_code,4482,Water Transportation
sic_code,4481,Water Transportation
sic_code,4449,Water Transportation
sic_code,4432,Water Transportation
sic_code,4424,Water Transportation
sic_code,4412,Water Transportation
sic_code,4311,United States Postal Service
sic_code,4231,Motor Freight Transportation
sic_code,4226,Motor Freight Transportation
sic_code,4225,Motor Freight Transportation
sic_code,4222,Motor Freight Transportation
sic_code,4221,Motor Freight Transportation
sic_code,4215,Motor Freight Transportation
sic_code,4214,Motor Freight Transportation
sic_code,4213,Motor Freight Transportation
sic_code,4212,Motor Freight Transportation
sic_code,4200,Motor Freight Transportation
sic_code,4173,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4151,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4142,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4141,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4131,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4121,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4119,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4111,"Local, Suburban Transit & Interurbn Hgwy Passenger Transport"
sic_code,4013,Railroad Transportation
sic_code,4011,Railroad Transportation
sic_code,3999,Miscellaneous Manufacturing Industries
sic_code,3996,Miscellaneous Manufacturing Industries
sic_code,3995,Miscellaneous Manufacturing Industries
sic_code,3993,Miscellaneous Manufacturing Industries
sic_code,3991,Miscellaneous Manufacturing Industries
sic_code,3965,Miscellaneous Manufacturing Industries
sic_code,3961,Miscellaneous Manufacturing Industries
sic_code,3955,Miscellaneous Manufacturing Industries
sic_code,3953,Miscellaneous Manufacturing Industries
sic_code,3952,Miscellaneous Manufacturing Industries
sic_code,3951,Miscellaneous Manufacturing Industries
sic_code,3949,Miscellaneous Manufacturing Industries
sic_code,3944,Miscellaneous Manufacturing Industries
sic_code,3942,Miscellaneous Manufacturing Industries
sic_code,3931,Miscellaneous Manufacturing Industries
sic_code,3915,Miscellaneous Manufacturing Industries
sic_code,3914,Miscellaneous Manufacturing Industries
sic_code,3911,Miscellaneous Manufacturing Industries
sic_code,3873,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3861,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3851,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3845,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3844,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3843,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3842,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3841,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3829,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3827,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3826,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3825,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3824,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3823,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3822,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3821,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3812,Mesr/Anlyz/Cntrl Instrmnts; Photo/Med/Opt Gds; Watchs/Clocks
sic_code,3799,Transportation Equipment
sic_code,3795,Transportation Equipment
sic_code,3792,Transportation Equipment
sic_code,3769,Transportation Equipment
sic_code,3764,Transportation Equipment
sic_code,3761,Transportation Equipment
sic_code,3751,Transportation Equipment
sic_code,3743,Transportation Equipment
sic_code,3732,Transportation Equipment
sic_code,3731,Transportation Equipment
sic_code,3728,Transportation Equipment
sic_code,3724,Transportation Equipment
sic_code,3721,Transportation Equipment
sic_code,3716,Transportation Equipment
sic_code,3715,Transportation Equipment
sic_code,3714,Transportation Equipment
sic_code,3713,Transportation Equipment
sic_code,3711,Transportation Equipment
sic_code,3699,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3695,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3694,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3692,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3691,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3679,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3678,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3677,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3676,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3675,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3674,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3672,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3671,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3669,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3663,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3661,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3652,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3651,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3648,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3647,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3646,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3645,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3644,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3643,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3641,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3639,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3635,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3634,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3633,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3632,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3631,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3629,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3625,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3624,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3621,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3613,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3612,"Electronic, Elctrcl Eqpmnt & Cmpnts, Excpt Computer Eqpmnt"
sic_code,3599,Industrial and Commercial Machinery and Computer Equipment
sic_code,3596,Industrial and Commercial Machinery and Computer Equipment
sic_code,3594,Industrial and Commercial Machinery and Computer Equipment
sic_code,3593,Industrial and Commercial Machinery and Computer Equipment
sic_code,3592,Industrial and Commercial Machinery and Computer Equipment
sic_code,3589,Industrial and Commercial Machinery and Computer Equipment
sic_code,3586,Industrial and Commercial Machinery and Computer Equipment
sic_code,3585,Industrial and Commercial Machinery and Computer Equipment
sic_code,3582,Industrial and Commercial Machinery and Computer Equipment
sic_code,3581,Industrial and Commercial Machinery and Computer Equipment
sic_code,3579,Industrial and Commercial Machinery and Computer Equipment
sic_code,3578,Industrial and Commercial Machinery and Computer Equipment
sic_code,3577,Industrial and Commercial Machinery and Computer Equipment
sic_code,3575,Industrial and Commercial Machinery and Computer Equipment
sic_code,3572,Industrial and Commercial Machinery and Computer Equipment
sic_code,3571,Industrial and Commercial Machinery and Computer Equipment
sic_code,3569,Industrial and Commercial Machinery and Computer Equipment
sic_code,3568,Industrial and Commercial Machinery and Computer Equipment
sic_code,3567,Industrial and Commercial Machinery and Computer Equipment
sic_code,3566,Industrial and Commercial Machinery and Computer Equipment
sic_code,3565,Industrial and Commercial Machinery and Computer Equipment
sic_code,3564,Industrial and Commercial Machinery and Computer Equipment
sic_code,3563,Industrial and Commercial Machinery and Computer Equipment
sic_code,3562,Industrial and Commercial Machinery and Computer Equipment
sic_code,3561,Industrial and Commercial Machinery and Computer Equipment
sic_code,3560,Industrial and Commercial Machinery and Computer Equipment
sic_code,3559,Industrial and Commercial Machinery and Computer Equipment
sic_code,3556,Industrial and Commercial Machinery and Computer Equipment
sic_code,3555,Industrial and Commercial Machinery and Computer Equipment
sic_code,3554,Industrial and Commercial Machinery and Computer Equipment
sic_code,3553,Industrial and Commercial Machinery and Computer Equipment
sic_code,3552,Industrial and Commercial Machinery and Computer Equipment
sic_code,3549,Industrial and Commercial Machinery and Computer Equipment
sic_code,3548,Industrial and Commercial Machinery and Computer Equipment
sic_code,3547,Industrial and Commercial Machinery and Computer Equipment
sic_code,3546,Industrial and Commercial Machinery and Computer Equipment
sic_code,3545,Industrial and Commercial Machinery and Computer Equipment
sic_code,3544,Industrial and Commercial Machinery and Computer Equipment
sic_code,3543,Industrial and Commercial Machinery and Computer Equipment
sic_code,3542,Industrial and Commercial Machinery and Computer Equipment
sic_code,3541,Industrial and Commercial Machinery and Computer Equipment
sic_code,3537,Industrial and Commercial Machinery and Computer Equipment
sic_code,3536,Industrial and Commercial Machinery and Computer Equipment
sic_code,3535,Industrial and Commercial Machinery and Computer Equipment
sic_code,3534,Industrial and Commercial Machinery and Computer Equipment
sic_code,3533,Industrial and Commercial Machinery and Computer Equipment
sic_code,3532,Industrial and Commercial Machinery and Computer Equipment
sic_code,3531,Industrial and Commercial Machinery and Computer Equipment
sic_code,3524,Industrial and Commercial Machinery and Computer Equipment
sic_code,3523,Industrial and Commercial Machinery and Computer Equipment
sic_code,3519,Industrial and Commercial Machinery and Computer Equipment
sic_code,3511,Industrial and Commercial Machinery and Computer Equipment
sic_code,3499,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3498,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3497,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3496,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3495,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3494,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3493,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3492,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3491,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3489,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3484,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3483,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3482,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3479,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
sic_code,3471,"Fabricated Metal Prdcts, Except Machinery & Transport Eqpmnt"
